근무지,지점,포지션,근무시간,급여,등록일
경기 파주시, 마왕족발 파주금릉역점,알바구함(미성년자X),05:00~01:00,"시급9,100",13분전
경기 파주시, 마왕족발 파주금릉역점,마왕족발 하남미사점에서 월/화,05:00~01:00,"시급9,100",14분전
광주 서구, 마왕족발 광주풍암점,마왕족발 하남미사점에서 월/화,17:30~01:00,"시급8,600",52분전
경기 하남시, 마왕족발 하남미사점,마왕족발 하남미사점에서 월/화,17:00~24:00,"시급10,500",3시간전
광주 광산구, 마왕족발 광주수완점,"마왕족발 파주금릉역점 주방, ",19:00~21:00,"시급8,600",5시간전
광주 서구, 마왕족발 광주풍암점,"마왕족발 파주금릉역점 주방, ",17:30~01:00,"시급8,600",6시간전
광주 서구, 마왕족발 광주풍암점,마왕족발 풍암점에서 홀직원 및,17:30~01:00,"시급8,600",7시간전
경기 하남시, 마왕족발 하남미사점,"마왕족발 파주금릉역점 주방, 홀 직원 모집합니다",17:00~24:00,"시급10,500",8시간전
경기 하남시, 마왕족발 하남미사점,"마왕족발 파주금릉역점 주방, 홀 직원 모집합니다",17:00~24:00,"시급10,500",8시간전
경기 하남시, 마왕족발 하남미사점,마왕족발 풍암점에서 홀직원 및 아르바이트 구합니다.,17:00~24:00,"시급10,500",8시간전
광주 광산구, 마왕족발 광주수완점,"마왕족발 하남미사점에서 월/화, 월/금 알바 구해요~~~",19:00~21:00,"시급8,600",8시간전
경기 파주시, 마왕족발 파주금릉역점,알바구함(미성년자X),05:00~01:00,"시급9,100",8시간전
경기 파주시, 마왕족발 파주금릉역점,마왕족발 풍암점에서 홀직원 및 아르바이트 구합니다.,05:00~01:00,"시급9,100",8시간전
광주 서구, 마왕족발 광주풍암점,마왕족발 풍암점에서 홀직원 및 아르바이트 구합니다.,17:30~01:00,"시급8,600",10/27
부산 전체, 마왕족발 부산사직점,"마왕족발 하남미사점에서 월/화, 월/금 알바 구해요~~~",17:00~22:00,"시급9,000",10/27
경남 밀양시, 마왕족발 밀양점,"마왕족발 하남미사점에서 월/화, 월/금 알바 구해요~~~",17:00~22:00,"시급9,000",10/27
강원 원주시, 마왕족발 원주혁신도시점,"마왕족발 하남미사점에서 월/화, 월/금 알바 구해요~~~",17:00~22:00,"시급9,000",10/27
광주 서구, 마왕족발 광주풍암점,알바구함(미성년자X),17:30~01:00,"시급8,600",10/27
경기 김포시, 마왕족발 신정점,"마왕족발 파주금릉역점 주방, 홀 직원 모집합니다",15:00~01:00,"월급2,000,000",10/26
경북 구미시, 마왕족발 구미상모사곡점,"마왕족발 파주금릉역점 주방, 홀 직원 모집합니다",18:00~21:00,"시급8,590",10/25
인천 연수구, 마왕족발 인천연수점,마왕족발 풍암점에서 홀직원 및 아르바이트 구합니다.,15:00~01:00,"월급2,320,000",10/24
강원 원주시, 마왕족발 원주혁신도시점,마왕족발 부산사직점 주말아르바이트 구인합니다~,14:00~24:00,"월급2,300,000",10/23
강원 원주시, 마왕족발 원주혁신도시점,마왕족발 밀양점 평일저녁 파트타임 구인합니다~,14:00~24:00,"월급2,300,000",10/23
서울 성동구, 마왕족발 금호사거리점,마왕족발원주혁신도시점 홀알바구합니다.,17:00~23:00,"시급8,590",10/23
서울 성동구, 마왕족발 금호사거리점,마왕족발 풍암점에서 홀직원 및 아르바이트 구합니다.,17:00~23:00,"시급8,590",10/23
서울 성동구, 마왕족발 금호사거리점,(경력우대)마왕족발 김포신도시점에서 함께하실 직원을 구합니다,17:00~23:00,"시급8,590",10/23
광주 광산구, 마왕족발 광주수완점,마왕족발 상모사곡점 홀(목금토)아르바이트 구함,19:00~21:00,"시급8,600",10/23
광주 광산구, 마왕족발 광주수완점,마왕족발 인천연수점 주방 및 관리자 모집,19:00~21:00,"시급8,600",10/23
서울 성동구, 마왕족발 금호사거리점,마왕족발원주혁신도시점 주방직원구합니다.,17:00~23:00,"시급8,590",10/23
강원 원주시, 마왕족발 원주혁신도시점,마왕족발원주혁신도시점 주방직원구합니다.,14:00~24:00,"월급2,300,000",10/23
서울 송파구, 마왕족발 석촌점,마왕족발금호사거리점에서 같이 재미있게 근무하실 주말 저녁아르바이트생 찾습니다,15:00~24:00,"시급10,350",10/23
경기 부천시, 마왕족발 부천본점,마왕족발금호사거리점에서 같이 재미있게 근무하실 주말 저녁아르바이트생 찾습니다,11:00~20:00,"월급2,250,000",10/21
인천 전체, 마왕족발 인천연수점,마왕족발금호사거리점에서 같이 재미있게 근무하실 주말 저녁아르바이트생 찾습니다,15:00~01:00,"월급2,320,000",10/21
울산 남구, 마왕족발 울산동구일산점,알바구함(미성년자X),15:00~02:00,"월급2,500,000",10/21
강원 원주시, 마왕족발 원주혁신도시점,알바구함(미성년자X),14:00~24:00,"월급2,300,000",10/20
인천 미추홀, 마왕족발 인천용현점,마왕족발금호사거리점에서 같이 재미있게 근무하실 주말 저녁아르바이트생 찾습니다,14:00~24:00,"시급8,600",10/20
인천 남동구, 마왕족발 만수점,마왕족발원주혁신도시점 주방직원구합니다.,12:00~01:00,"시급9,000",10/20
인천 남동구, 마왕족발 만수점,마왕족발 석촌점 아르바이트 모집합니다.,12:00~01:00,"시급9,000",10/20
인천 남동구, 마왕족발 만수점,마왕족발 부천본점 주방 직원 채용,12:00~01:00,"시급9,000",10/20
인천 남동구, 마왕족발 만수점,마왕족발 인천 연수점 주방 직원 채용 안내,12:00~01:00,"시급9,000",10/20
경기 김포시, 마왕족발 신정점,마왕족발 울산 달동점 주방직원 구합니다.,15:00~01:00,"월급2,000,000",10/20
경기 김포시, 마왕족발 신정점,마왕족발원주혁신도시점 주방직원구합니다.,15:00~01:00,"월급2,000,000",10/20
경기 김포시, 마왕족발 신정점,마왕족발 용현점 주말 아르바이트 구합니다.,15:00~01:00,"월급2,000,000",10/20
경기 김포시, 마왕족발 신정점,마왕족발  만수점  직원및  알바  모집 합니다.,15:00~01:00,"월급2,000,000",10/20
서울 송파구, 마왕족발 석촌점,마왕족발  만수점  직원및  알바  모집 합니다.,15:00~24:00,"시급10,350",10/19
경기 김포시, 마왕족발 김포풍무점,마왕족발  만수점  직원및  알바  모집 합니다.,02:30~12:30,"월급2,400,000",10/19
경북 구미시, 마왕족발 구미상모사곡점,마왕족발  만수점  직원및  알바  모집 합니다.,15:00~01:00,"월급2,200,000",10/19
경북 구미시, 마왕족발 구미상모사곡점,(경력우대)마왕족발 김포신도시점에서 함께하실 직원을 구합니다,15:00~01:00,"월급2,200,000",10/19
경북 구미시, 마왕족발 구미상모사곡점,(경력우대)마왕족발 김포신도시점에서 함께하실 직원을 구합니다,15:00~01:00,"월급2,200,000",10/19
경북 구미시, 마왕족발 구미상모사곡점,(경력우대)마왕족발 김포신도시점에서 함께하실 직원을 구합니다,15:00~01:00,"월급2,200,000",10/19
